School Year,School ID,Total,# Bilingual,% Bilingual,# SpED,% SpED,# Free/Reduced Lunch,% Free/Reduced Lunch
2017,610212,277,56,0.2022,42,0.1516,264,0.9531
2017,610209,921,522,0.5668,99,0.1075,842,0.9142
2017,609836,849,159,0.1873,104,0.1225,404,0.4759
2017,609729,1812,320,0.1766,336,0.1854,1649,0.9100
2017,610083,173,66,0.3815,114,0.6590,95,0.5491
2017,610564,730,11,0.0151,77,0.1055,432,0.5918
2017,610515,428,60,0.1402,36,0.0841,108,0.2523
2017,610523,564,47,0.0833,91,0.1613,102,0.1809
2017,610137,705,200,0.2837,85,0.1206,463,0.6567
2017,609874,884,440,0.4977,102,0.1154,585,0.6618
2017,610163,239,27,0.1130,104,0.4351,39,0.1632
2017,609737,1737,29,0.0167,98,0.0564,1302,0.7496
2017,609857,615,232,0.3772,157,0.2553,524,0.8520
2017,610182,360,114,0.3167,82,0.2278,199,0.5528
2017,609972,957,614,0.6416,119,0.1243,847,0.8851
2017,609798,559,133,0.2379,56,0.1002,362,0.6476
2017,609766,206,70,0.3398,206,1.0000,157,0.7621
2017,609912,638,213,0.3339,171,0.2680,399,0.6254
2017,609796,1101,198,0.1798,111,0.1008,540,0.4905
2017,610089,561,162,0.2888,88,0.1569,442,0.7879
2017,610111,833,282,0.3385,104,0.1248,636,0.7635
2017,609937,790,174,0.2203,97,0.1228,318,0.4025
2017,610159,800,327,0.4088,89,0.1113,723,0.9038
2017,610127,879,292,0.3322,109,0.1240,629,0.7156
2017,609792,1061,376,0.3544,132,0.1244,900,0.8483
2017,609810,1105,301,0.2724,115,0.1041,722,0.6534
2017,610354,327,169,0.5168,74,0.2263,268,0.8196
2017,609749,1069,6,0.0056,63,0.0589,441,0.4125
2017,609744,228,66,0.2895,228,1.0000,185,0.8114
2017,610099,411,20,0.0487,62,0.1509,73,0.1776
2017,610201,840,78,0.0929,91,0.1083,379,0.4512
2017,610105,733,74,0.1010,82,0.1119,158,0.2156
2017,609988,548,294,0.5365,70,0.1277,473,0.8631
2017,610145,852,305,0.3580,174,0.2042,647,0.7594
2017,610135,933,135,0.1447,122,0.1308,713,0.7642
2017,609995,593,140,0.2361,82,0.1383,325,0.5481
2017,610155,583,98,0.1681,56,0.0961,161,0.2762
2017,609728,1198,312,0.2604,244,0.2037,1094,0.9132
2017,609794,275,2,0.0073,12,0.0436,28,0.1018
2017,610230,487,36,0.0739,59,0.1211,67,0.1376
2017,609884,788,208,0.2640,88,0.1117,459,0.5825
2017,609994,1048,531,0.5067,129,0.1231,980,0.9351
2017,609734,3289,196,0.0596,402,0.1222,1747,0.5312
2017,610104,639,67,0.1049,87,0.1362,220,0.3443
2017,609949,1228,329,0.2679,162,0.1319,1044,0.8502
2017,609804,830,403,0.4855,97,0.1169,717,0.8639
2017,609859,1173,552,0.4706,82,0.0699,945,0.8056
2017,609852,606,143,0.2360,104,0.1716,391,0.6452
2017,609918,199,56,0.2814,32,0.1608,185,0.9296
2017,609779,1433,472,0.3294,140,0.0977,1291,0.9009
2017,610196,686,312,0.4548,97,0.1414,495,0.7216
2017,610122,1028,187,0.1819,97,0.0944,650,0.6323
2017,610070,737,190,0.2578,187,0.2537,623,0.8453
2017,609866,948,57,0.0601,109,0.1150,209,0.2205
2017,610269,421,147,0.3492,107,0.2542,360,0.8551
2017,609865,508,221,0.4350,78,0.1535,435,0.8563
2017,610242,398,140,0.3518,84,0.2111,319,0.8015
2017,610022,793,426,0.5372,166,0.2093,655,0.8260
2017,609719,1298,62,0.0478,194,0.1495,1071,0.8251
2017,609817,790,384,0.4861,71,0.0899,554,0.7013
2017,610355,456,115,0.2522,143,0.3136,393,0.8618
2017,610011,875,223,0.2549,118,0.1349,564,0.6446
2017,610284,683,343,0.5022,90,0.1318,541,0.7921
2017,609730,1415,232,0.1640,190,0.1343,1160,0.8198
2017,610147,783,296,0.3780,107,0.1367,591,0.7548
2017,610141,549,46,0.0838,61,0.1111,226,0.4117
2017,609695,1172,114,0.0973,137,0.1169,996,0.8498
2017,609733,626,224,0.3578,156,0.2492,534,0.8530
2017,609880,292,1,0.0034,15,0.0514,40,0.1370
2017,609933,363,109,0.3003,65,0.1791,341,0.9394
2017,609976,1049,479,0.4566,122,0.1163,891,0.8494
2017,609724,1502,398,0.2650,172,0.1145,1270,0.8455
2017,610191,626,96,0.1534,52,0.0831,309,0.4936
2017,610220,634,83,0.1309,52,0.0820,241,0.3801
2017,610394,301,29,0.0963,108,0.3588,282,0.9369
2017,610542,796,349,0.4384,90,0.1131,695,0.8731
2017,609945,727,314,0.4319,84,0.1155,577,0.7937
2017,609922,575,392,0.6817,77,0.1339,524,0.9113
2017,609679,1377,75,0.0545,179,0.1300,1053,0.7647
2017,609732,1374,232,0.1689,256,0.1863,1246,0.9068
2017,609904,638,6,0.0094,117,0.1834,546,0.8558
2017,609708,894,201,0.2248,179,0.2002,842,0.9418
2017,610235,876,58,0.0662,114,0.1301,830,0.9475
2017,610165,855,464,0.5427,93,0.1088,795,0.9298
2017,610245,175,2,0.0114,58,0.3314,166,0.9486
2017,610305,479,1,0.0021,75,0.1566,435,0.9081
2017,609795,250,37,0.1480,26,0.1040,220,0.8800
2017,610068,1541,671,0.4354,255,0.1655,1453,0.9429
2017,610158,459,56,0.1220,56,0.1220,309,0.6732
2017,610092,336,5,0.0149,35,0.1042,300,0.8929
2017,609975,425,17,0.0400,40,0.0941,406,0.9553
2017,610043,404,24,0.0594,47,0.1163,372,0.9208
2017,610041,1359,399,0.2936,197,0.1450,1171,0.8617
2017,609910,1207,518,0.4292,145,0.1201,1107,0.9171
2017,609818,934,350,0.3747,125,0.1338,873,0.9347
2017,610539,972,366,0.3765,117,0.1204,791,0.8138
2017,610046,1504,473,0.3145,181,0.1203,1396,0.9282
2017,610244,548,6,0.0109,67,0.1223,526,0.9599
2017,609830,539,16,0.0297,73,0.1354,503,0.9332
2017,610051,492,124,0.2520,66,0.1341,475,0.9654
2017,610367,614,8,0.0130,113,0.1840,592,0.9642
2017,610183,696,4,0.0057,87,0.1250,683,0.9813
2017,610518,304,5,0.0164,78,0.2566,289,0.9507
2017,610038,853,75,0.0879,46,0.0539,139,0.1630
2017,609720,4195,22,0.0052,190,0.0453,2099,0.5004
2017,609799,961,42,0.0437,104,0.1082,136,0.1415
2017,610039,648,197,0.3040,92,0.1420,513,0.7917
