School ID,Year,Test Name,# Students Tested,Overall ELA Mean Scale Score,Overall ELA % Did Not Meet,Overall ELA % Partially Met,Overall ELA % Approached,Overall ELA % Met,Overall ELA % Exceeded,Overall ELA % Met or Exceeded,Reading Mean Scale Score,Reading Literary Text % Did Not Yet Meet or Partially Met,Reading Literary Text % Approached,Reading Literary Text % Met or Exceeded,Reading Information % Did Not Yet Meet or Partially Met,Reading Information % Approached,Reading Information % Met or Exceeded,Vocabulary % Did Not Yet Meet or Partially Met,Vocabulary % Approached,Vocabulary % Met or Exceeded,Writing Mean Scale Score,Writing Expression % Did Not Yet Meet or Partially Met,Writing Expression % Approached,Writing Expression % Met or Exceeded,Writing Conventions % Did Not Yet Meet or Partially Met,Writing Conventions % Approached,Writing Conventions % Met or Exceeded
400009,2017,Combined ELA Grades 3-8,179, ,19.00%,31.30%,22.90%,26.30%,0.60%,26.80%, ,51.40%,20.70%,27.90%,47.50%,22.90%,29.60%,48.60%,22.30%,29.10%, ,53.10%,25.10%,21.80%,47.50%,27.40%,25.10%
400011,2017,Combined ELA Grades 3-8,297, ,7.70%,12.10%,38.00%,38.40%,3.70%,42.10%, ,27.30%,28.30%,44.40%,28.60%,30.30%,41.10%,33.30%,24.90%,41.80%, ,28.60%,24.60%,46.80%,26.90%,25.90%,47.10%
400017,2017,Combined ELA Grades 3-8,524, ,35.90%,28.20%,24.00%,10.90%,1.00%,11.80%, ,63.00%,22.30%,14.70%,64.30%,22.90%,12.80%,64.70%,18.50%,16.80%, ,67.90%,16.60%,15.50%,66.40%,18.90%,14.70%
400021,2017,Combined ELA Grades 3-8,330, ,27.90%,27.00%,28.20%,15.80%,1.20%,17.00%, ,56.10%,22.10%,21.80%,57.60%,23.60%,18.80%,53.90%,24.20%,21.80%, ,65.50%,17.00%,17.60%,60.30%,18.80%,20.90%
400023,2017,Combined ELA Grades 3-8,268, ,9.30%,21.60%,32.10%,33.20%,3.70%,36.90%, ,38.80%,26.50%,34.70%,40.70%,26.10%,33.20%,39.90%,29.10%,31.00%, ,34.00%,19.80%,46.30%,28.40%,25.00%,46.60%
400024,2017,Combined ELA Grades 3-8,456, ,14.50%,21.10%,34.00%,29.60%,0.90%,30.50%, ,45.40%,26.80%,27.90%,47.60%,23.90%,28.50%,45.40%,25.70%,28.90%, ,37.50%,23.90%,38.60%,32.20%,28.10%,39.70%
400025,2017,Combined ELA Grades 3-8,443,,21.00%,28.90%,28.90%,19.60%,1.60%,21.20%, ,51.20%,26.20%,22.60%,53.00%,26.40%,20.50%,53.50%,23.00%,23.50%, ,55.50%,22.30%,22.10%,46.70%,23.70%,29.60%
400027,2017,Combined ELA Grades 3-8,360, ,11.70%,18.90%,30.00%,35.00%,4.40%,39.40%, ,36.10%,24.40%,39.40%,35.30%,25.30%,39.40%,38.10%,21.70%,40.30%, ,36.90%,20.80%,42.20%,30.60%,24.20%,45.30%
400028,2017,Combined ELA Grades 3-8,249, ,23.70%,27.30%,30.50%,16.90%,1.60%,18.50%, ,53.40%,26.50%,20.10%,54.60%,25.70%,19.70%,54.60%,25.70%,19.70%, ,58.20%,18.90%,22.90%,45.40%,26.90%,27.70%
400029,2017,Combined ELA Grades 3-8,277, ,16.60%,22.70%,31.80%,27.10%,1.80%,28.90%, ,46.20%,22.40%,31.40%,48.40%,24.90%,26.70%,40.10%,30.70%,29.20%, ,47.30%,22.00%,30.70%,40.10%,26.70%,33.20%
400030,2017,Combined ELA Grades 3-8,348, ,16.70%,24.40%,29.00%,26.10%,3.70%,29.90%, ,43.70%,24.10%,32.20%,42.20%,25.90%,31.90%,41.10%,25.60%,33.30%, ,46.00%,24.70%,29.30%,39.70%,26.40%,33.90%
400031,2017,Combined ELA Grades 3-8,503, ,27.20%,33.00%,22.70%,16.30%,0.80%,17.10%, ,58.80%,21.90%,19.30%,59.60%,20.90%,19.50%,51.90%,22.50%,25.60%, ,67.80%,17.90%,14.30%,62.00%,18.90%,19.10%
400033,2017,Combined ELA Grades 3-8,811, ,28.40%,27.90%,26.30%,17.00%,0.50%,17.50%, ,56.70%,22.30%,21.00%,60.00%,22.60%,17.40%,54.90%,24.80%,20.30%, ,61.80%,19.40%,18.90%,57.20%,20.80%,21.90%
400035,2017,Combined ELA Grades 3-8,252, ,17.90%,29.00%,28.60%,22.60%,2.00%,24.60%, ,46.40%,25.80%,27.80%,46.40%,29.40%,24.20%,46.00%,22.20%,31.70%, ,54.40%,21.40%,24.20%,46.80%,27.40%,25.80%
400036,2017,Combined ELA Grades 3-8,349, ,19.20%,22.10%,26.60%,27.50%,4.60%,32.10%, ,35.00%,24.60%,40.40%,42.10%,22.60%,35.20%,39.30%,20.90%,39.80%, ,56.40%,18.30%,25.20%,51.00%,20.90%,28.10%
400039,2017,Combined ELA Grades 3-8,260, ,15.40%,25.00%,32.30%,26.50%,0.80%,27.30%, ,51.50%,23.10%,25.40%,45.80%,31.90%,22.30%,48.80%,26.20%,25.00%, ,41.50%,21.50%,36.90%,32.70%,25.00%,42.30%
400040,2017,Combined ELA Grades 3-8,266, ,39.10%,31.60%,20.70%,8.60%,0.00%,8.60%, ,68.00%,20.30%,11.70%,68.80%,22.60%,8.60%,70.30%,16.50%,13.20%, ,75.90%,15.40%,8.60%,74.80%,15.00%,10.20%
400043,2017,Combined ELA Grades 3-8,165, ,27.30%,35.20%,25.50%,11.50%,0.60%,12.10%, ,67.30%,15.20%,17.60%,63.60%,23.60%,12.70%,62.40%,22.40%,15.20%, ,67.90%,18.20%,13.90%,48.50%,29.10%,22.40%
400044,2017,Combined ELA Grades 3-8,533, ,28.30%,26.60%,29.60%,14.30%,1.10%,15.40%, ,56.10%,22.00%,22.00%,57.00%,25.50%,17.40%,59.50%,19.90%,20.60%, ,65.50%,18.40%,16.10%,57.60%,25.00%,17.40%
400045,2017,Combined ELA Grades 3-8,142, ,26.10%,35.90%,30.30%,7.70%,0.00%,7.70%, ,59.20%,28.90%,12.00%,62.70%,24.60%,12.70%,59.90%,22.50%,17.60%, ,66.20%,26.80%,7.00%,64.80%,20.40%,14.80%
400046,2017,Combined ELA Grades 3-8,353, ,20.10%,26.60%,24.40%,25.80%,3.10%,28.90%, ,50.10%,23.50%,26.30%,50.40%,24.10%,25.50%,45.90%,24.60%,29.50%, ,48.70%,17.60%,33.70%,45.90%,19.50%,34.60%
